Log,Topics,LogLik
8.238415478,4,-173147202
8.231924423,5,-170578552
8.228838739,6,-169370878
8.22622346,7,-168354008
8.224064303,8,-167519089
8.224624371,9,-167735262
8.221340816,10,-166471854
8.220166193,11,-166022211
8.218789102,12,-165496610
8.218193525,13,-165269809
8.216687453,14,-164697669
8.21576111,15,-164346746
8.215412819,16,-164214998
8.215144024,17,-164113393
8.214139843,18,-163734366
8.213609557,19,-163534564
8.213479883,20,-163485742
8.213597232,21,-163529923
8.212284489,22,-163036367
8.213203775,23,-163381837
8.211282386,24,-162660606
8.21115358,25,-162612370
8.211581319,26,-162772607
8.210063327,27,-162204660
8.210601452,28,-162405769
8.210416569,29,-162336646
8.209658112,30,-162053387
8.209311838,31,-161924229
8.209494956,32,-161992518
8.208877292,33,-161762292
8.208985413,34,-161802569
8.20835422,35,-161567580
8.207916879,36,-161404961
8.20826199,37,-161533272
8.207815998,38,-161367473
8.207634526,39,-161300059
8.207475925,40,-161241164
8.207939042,41,-161413198
8.206895962,42,-161025984
8.207187633,43,-161134165
8.20705917,44,-161086509
8.20661506,45,-160921866
8.206444212,46,-160858573
8.206899727,47,-161027380
8.206959419,48,-161049514